_c0,_c1
1537034400,1828450
1537038000,1903480
1537041600,1879758
1537045200,1875829
1537048800,1566506
1537052400,1541669
1537056000,1377767
1537059600,1554877
1537063200,1584061
1537066800,1458269
1537070400,1495261
1537074000,1511787
1537077600,1645944
1537081200,1750400
1537084800,1804125
1537088400,1846289
1537092000,1832630
1537095600,1746704
1537099200,1803329
1537102800,1890443
1537106400,2063255
1537110000,1900082
1537113600,1881622
1537117200,1864049
1537120800,1873701
1537124400,1896680
1537128000,2001238
1537131600,1746634
1537135200,1550597
1537138800,1532005
1537142400,1459210
1537146000,1541877
1537149600,1758010
1537153200,1621139
1537156800,1584306
1537160400,1586258
1537164000,1649752
1537167600,1903217
1537171200,1906697
1537174800,1885580
1537178400,1919179
1537182000,1852871
1537185600,1939959
1537189200,1996498
1537192800,2064163
1537196400,1998772
1537200000,1964453
1537203600,1997444
1537207200,2062948
1537210800,2019842
1537214400,1956946
1537218000,1807659
1537221600,1619451
1537225200,1632057
1537228800,1680658
1537232400,1665363
1537236000,1591652
1537239600,1555998
1537243200,1523741
1537246800,1497510
1537250400,1671104
1537254000,1691057
1537257600,1718577
1537261200,1772137
1537264800,1810698
1537268400,1738779
1537272000,1826222
1537275600,1883034
1537279200,1966258
1537282800,1970470
1537286400,2037243
1537290000,2038922
1537293600,1983309
1537297200,2077732
1537300800,2019735
1537304400,1814505
1537308000,1610250
1537311600,1711031
1537315200,1667935
1537318800,1790155
1537322400,1928711
1537326000,1877523
1537329600,1881193
1537333200,1779503
1537336800,1881984
1537340400,2033724
1537344000,1984728
1537347600,2054578
1537351200,2105222
1537354800,1968755
1537358400,2096945
1537362000,1984759
1537365600,1887030
1537369200,1826151
1537372800,1933173
1537376400,1947751
1537380000,2218086
1537383600,2148008
1537387200,2118650
1537390800,1917386
1537394400,1673861
1537398000,1683361
1537401600,1565454
1537405200,1594612
1537408800,1591537
1537412400,1525054
1537416000,1490668
1537419600,1486537
1537423200,1589023
1537426800,1720164
1537430400,1821981
1537434000,1833709
1537437600,1862118
1537441200,1889913
1537444800,2114308
1537448400,2170540
1537452000,2173590
1537455600,1894611
1537459200,1913147
1537462800,1899342
1537466400,2062972
1537470000,1907797
1537473600,1836512
1537477200,1677261
1537480800,1588662
1537484400,1562540
1537488000,1491194
1537491600,1483644
1537495200,1484022
1537498800,1592934
1537502400,1673383
1537506000,1729976
1537509600,1800349
1537513200,1888696
1537516800,1884648
1537520400,2034706
1537524000,1834948
1537527600,1703402
1537531200,1960587
1537534800,1964400
1537538400,2040385
1537542000,1963047
1537545600,1875642
1537549200,1821335
1537552800,1858131
1537556400,1861955
1537560000,1843473
1537563600,1705802
1537567200,1522556
1537570800,1558950
1537574400,1393613
1537578000,1475912
1537581600,1566256
1537585200,1484577
1537588800,1473047
1537592400,1520190
1537596000,1632561
1537599600,1670021
1537603200,1642978
1537606800,1698841
1537610400,1803981
1537614000,1706659
1537617600,1729149
1537621200,1925897
1537624800,1932098
