1,11031
1,3929
1,799
1,373
1,301
1,163
1,160
1,141
1,69
1,46
1,31
1,26
1,25
1,20
1,13
2,12
2,11
2,10
3,9
4,8
6,7
10,6
20,5
36,4
112,3
629,2
5211,1
